NTANAME,BORONAME,socialSCORE,affordabilitySCORE,urbanSCORE,safetySCORE,sentimentSCORE,foodieSCORE,publicspaceSCORE,trendySCORE,musicSCORE,socialjusticeSCORE,nightlifeSCORE,fitnessSCORE,SCORE,score_a,OverallSCORE
Soundview-Bruckner,Bronx,-0.35,-0.37,-0.1,0.06,0.7,-1.11,0.7,-0.98,0.54,0.58,1.52,2.35,1.531746032,29.47,1.531746032
Woodlawn-Wakefield,Bronx,-0.65,-0.16,-0.13,0,0.29,1.47,-0.12,-0.33,0.1,-0.63,0.08,-0.49,0.758412698,5.11,0.758412698
North Riverdale-Fieldston-Riverdale,Bronx,0.2,-0.54,-0.07,-0.1,-0.21,-0.5,0.47,0.38,0.7,-0.17,0.69,-0.49,1.016825397,13.25,1.016825397
Van Nest-Morris Park-Westchester Square,Bronx,-0.51,-0.12,-0.14,0.12,-0.36,0,0.58,0.66,-0.49,-0.86,1.05,3.6,1.568888889,30.64,1.568888889
Baisley Park,Queens,-0.56,0.04,-0.14,0.01,-1.22,0.51,1.46,2.9,-1.45,-1.05,-1.47,-0.49,0.493968254,-3.22,0.493968254
Manhattanville,Manhattan,0.34,-1.21,0.11,-0.11,0.41,0.38,0.08,-0.83,0.24,0.33,0.5,0.58,0.833015873,7.46,0.833015873
Rego Park,Queens,-0.64,0.12,-0.12,-0.15,-0.83,0.32,1.21,1.64,0.17,-1.05,-1.47,-0.49,0.602539683,0.2,0.602539683
East Flatbush-Farragut,Brooklyn,-0.57,-0.24,-0.14,0.02,0.06,0.51,0.08,0.49,-0.05,0.02,-0.35,0.05,0.731111111,4.25,0.731111111
Van Cortlandt Village,Bronx,0.25,-0.97,-0.03,-0.07,-0.26,1.74,-0.75,0.53,-1.07,-0.12,0.24,-0.49,0.459365079,-4.31,0.459365079
Norwood,Bronx,-0.51,-0.9,0.02,-0.04,0.42,0.76,0.47,-0.04,-0.01,-1.05,1.23,-0.49,1.14984127,17.44,1.14984127
Kingsbridge Heights,Bronx,-0.34,-0.77,-0.01,-0.06,0.3,0.91,0.23,-0.51,-0.58,-0.05,0.63,0.51,0.813650794,6.85,0.813650794
Westchester-Unionport,Bronx,-0.39,-0.04,-0.12,-0.08,0.15,0.78,-1.42,-0.77,-0.28,0.88,2.06,-0.49,0.859365079,8.29,0.859365079
park-cemetery-etc-Manhattan,Manhattan,0.15,-1.42,-0.13,-0.17,0.51,0.15,0.29,0.12,0.33,-0.03,0.08,0.08,0.852063492,8.06,0.852063492
Highbridge,Bronx,-0.18,-0.91,-0.03,-0.02,-0.02,-0.25,0.47,1.64,-1.45,1.6,-1.47,-0.49,0.144126984,-14.24,0.144126984
Stapleton-Rosebank,Staten Island,-0.4,-0.14,-0.13,-0.05,0.06,0.12,-0.58,-1.17,1.05,-0.03,2.29,-0.49,1.216507937,19.54,1.216507937
Glen Oaks-Floral Park-New Hyde Park,Queens,-0.5,0.02,-0.12,-0.06,0.06,-0.25,0.47,-2.14,1.78,1.6,-1.47,-0.49,0.154920635,-13.9,0.154920635
Marble Hill-Inwood,Manhattan,0.02,-1.29,0.12,-0.03,0.09,-0.3,0.54,-0.3,1.07,-0.02,0.19,-0.49,0.844444444,7.82,0.844444444
Glendale,Queens,-0.72,0.23,-0.13,-0.05,-0.14,1.74,-1.1,-1.25,-0.69,0.82,0.81,-0.49,0.371111111,-7.09,0.371111111
Douglas Manor-Douglaston-Little Neck,Queens,-0.49,0.46,-0.12,0.08,-0.92,-1,-2.5,0.38,5.01,-1.05,1.77,-0.49,1.792698413,37.69,1.792698413
Eastchester-Edenwald-Baychester,Bronx,-0.65,-0.44,-0.14,-0.01,0.15,-0.7,1.46,-0.12,-0.59,0.36,1.12,-0.49,0.946031746,11.02,0.946031746
Jamaica Estates-Holliswood,Queens,0.28,0.38,-0.12,-0.09,-0.35,-0.7,-2.5,-2.14,1.14,3.19,2.42,-0.49,0.614603175,0.58,0.614603175
park-cemetery-etc-Queens,Queens,-0.74,-0.18,-0.15,-0.15,-0.06,0.43,-0.03,0.22,0.06,0.05,0.17,-0.01,0.765079365,5.32,0.765079365
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,0.18,-0.63,-0.1,0.17,-1.22,0.35,0,-0.55,0.59,-1.05,2.62,-0.49,1.204126984,19.15,1.204126984
Co-op City,Bronx,-0.16,-0.85,0,-0.13,-0.26,0.31,0.4,-0.46,-0.01,0.36,0.25,-0.49,0.534285714,-1.95,0.534285714
park-cemetery-etc-Bronx,Bronx,-0.45,-0.77,-0.11,-0.16,-0.07,0.27,0.24,0.19,0.54,-0.24,0.02,-0.49,0.740952381,4.56,0.740952381
Queensboro Hill,Queens,-0.74,0.06,-0.14,-0.12,0.25,2.91,-2.5,-2.14,-1.45,3.19,-1.47,-0.49,-0.791428571,-43.71,-0.791428571
Airport,Queens,-0.97,-0.67,-0.07,-0.17,0.24,0.31,0.24,0.4,-0.12,0.04,0.04,-0.03,0.766031746,5.35,0.766031746
Lindenwood-Howard Beach,Queens,-0.57,-0.21,-0.13,-0.06,0.1,-2.5,-2.5,-2.14,-1.45,9.56,-1.47,-0.49,-1.398095238,-62.82,-1.398095238
Middle Village,Queens,-0.74,0.63,-0.14,-0.04,-1.22,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-2.960952381,-112.05,-2.960952381
Corona,Queens,0.1,0.82,-0.11,-0.11,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.354285714,-124.44,-3.354285714
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,0.17,0.26,-0.15,-0.06,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.398412698,-125.83,-3.398412698
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,0.32,0.07,-0.15,-0.09,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.417460317,-126.43,-3.417460317
East Harlem South,Manhattan,0.72,-0.76,0.02,-0.1,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.474920635,-128.24,-3.474920635
East Harlem North,Manhattan,0.58,-1.03,-0.06,0.09,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.473968254,-128.21,-3.473968254
Charleston-Richmond Valley-Tottenville,Staten Island,-0.61,0.24,-0.13,0.06,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.400952381,-125.91,-3.400952381
Great Kills,Staten Island,-0.53,0.14,-0.14,-0.06,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.431428571,-126.87,-3.431428571
Rossville-Woodrow,Staten Island,-0.56,0.22,-0.14,-0.13,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.438095238,-127.08,-3.438095238
Oakwood-Oakwood Beach,Staten Island,-0.62,0.19,-0.13,-0.12,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.44031746,-127.15,-3.44031746
Kew Gardens,Queens,-0.57,-0.27,-0.06,-0.1,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.474285714,-128.22,-3.474285714
Arden Heights,Staten Island,-0.61,-0.27,-0.14,0.03,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.455873016,-127.64,-3.455873016
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,-0.16,-1.1,-0.11,0.09,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.507301587,-129.26,-3.507301587
park-cemetery-etc-Staten Island,Staten Island,-0.88,-0.78,-0.15,-0.17,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.551746032,-130.66,-3.551746032
Rikers Island,Bronx,-1.47,-2.38,-0.02,-0.17,-3.14,-2.5,-2.5,-2.14,-1.45,-1.05,-1.47,-0.49,-3.714603175,-135.79,-3.714603175
