NTANAME,BORONAME,socialSCORE,affordabilitySCORE,urbanSCORE,safetySCORE,sentimentSCORE,foodieSCORE,publicspaceSCORE,trendySCORE,musicSCORE,socialjusticeSCORE,nightlifeSCORE,fitnessSCORE,SCORE,score_a,OverallSCORE
Williamsburg,Brooklyn,0.8,0.85,-0.07,-0.07,-0.94,1.11,-0.12,0.88,-1.45,1.07,-1.47,-0.49,-0.005396825,-18.95,-0.005396825
Far Rockaway-Bayswater,Queens,-0.46,-0.09,-0.1,1.11,1.05,0.15,-0.05,0.08,0.83,-0.43,0.81,-0.49,1.526666667,29.31,1.526666667
Sunset Park West,Brooklyn,0.26,0.68,-0.13,0.07,0.12,0.28,-0.08,0.1,-0.05,0.26,0.33,0.65,1.025396825,13.52,1.025396825
Oakland Gardens,Queens,0.2,-0.37,-0.11,0.02,0.97,1.26,0.47,1.01,-0.91,-0.61,-0.66,-0.49,0.83015873,7.37,0.83015873
North Corona,Queens,-0.43,0.97,-0.11,-0.01,0.46,0.18,0.71,0.31,-0.4,-0.19,0.1,1.5,1.227619048,19.89,1.227619048
Greenpoint,Brooklyn,0.18,1.02,-0.12,0.05,-0.21,0.54,0.03,-0.44,0.16,0.2,0.25,-0.05,0.828888889,7.33,0.828888889
Brownsville,Brooklyn,0.4,-0.22,-0.11,0.07,0.32,0.01,0.81,1.82,-0.18,-1.05,0.12,-0.49,1.248888889,20.56,1.248888889
Briarwood-Jamaica Hills,Queens,-0.61,0.4,-0.11,-0.04,1.18,0.84,0.14,1.22,-0.01,-1.05,-0.03,-0.49,1.277142857,21.45,1.277142857
Murray Hill,Queens,0.12,0.77,-0.14,-0.12,-0.11,0.21,0.35,0.88,-0.67,-0.42,0.47,2.46,1.332063492,23.18,1.332063492
Flatbush,Brooklyn,0.44,0.46,-0.12,-0.09,0.28,0.39,-0.16,0.05,0.02,0.25,0.49,-0.49,0.908253968,9.83,0.908253968
Auburndale,Queens,0.14,0.97,-0.14,-0.12,-0.43,-0.13,1.25,0.25,0.59,-0.49,-0.45,-0.49,0.863809524,8.43,0.863809524
Fordham South,Bronx,-0.02,-0.32,0.02,-0.1,1.59,0.51,1.46,-0.46,-1.45,0.13,0.69,-0.49,0.996507937,12.61,0.996507937
South Jamaica,Queens,0.51,-0.03,-0.13,0.96,0.56,-1,-0.52,-2.14,2.86,0.72,1.77,-0.49,1.513333333,28.89,1.513333333
Crown Heights North,Brooklyn,0.3,0.73,-0.14,0,-0.35,0.27,0.13,0.33,0.54,-0.34,0.02,0.22,0.986984127,12.31,0.986984127
Ocean Parkway South,Brooklyn,-0.4,1.02,-0.12,0,0.46,-0.04,-0.34,0.61,0.9,-0.09,0.29,-0.49,1.197142857,18.93,1.197142857
Upper East Side-Carnegie Hill,Manhattan,0.85,-0.7,-0.1,-0.15,0.87,-0.06,0.34,0.7,0.16,-0.31,0.45,0.22,1.241904762,20.34,1.241904762
East New York,Brooklyn,0.39,0.05,-0.14,0.1,0.21,-0.16,0.59,0.28,0.88,-0.2,-0.7,0.99,1.059365079,14.59,1.059365079
Belmont,Bronx,0.5,0.06,-0.07,-0.03,-0.37,0.67,1.35,0.72,-0.4,-0.48,-1.47,-0.49,0.471428571,-3.93,0.471428571
Bay Ridge,Brooklyn,0.19,0.56,-0.13,0.11,0.14,-0.11,0.23,-0.04,0.32,0.4,0.3,-0.33,0.948888889,11.11,0.948888889
West Farms-Bronx River,Bronx,0.4,-0.08,-0.02,0.04,0.2,0.17,0.58,0.1,0.94,-0.66,-0.03,-0.49,1.047936508,14.23,1.047936508
Brighton Beach,Brooklyn,0.22,-0.07,-0.09,0,0.46,1.11,-0.12,0.88,-1.45,-1.05,2.42,-0.49,1.424444444,26.09,1.424444444
New Dorp-Midland Beach,Staten Island,0.4,0.48,-0.13,0.05,0.04,-0.04,-0.34,0.61,-0.28,1.84,-1.47,-0.49,0.249206349,-10.93,0.249206349
Chinatown,Manhattan,0.55,-0.37,-0.04,0.03,0.5,0.39,0.16,0.13,0.03,0.05,0.09,0.01,0.931428571,10.56,0.931428571
West New Brighton-New Brighton-St. George,Staten Island,0.45,-0.1,-0.13,0,0.18,0.33,0.34,1.02,-0.39,0.14,-0.6,-0.49,0.712698413,3.67,0.712698413
Ozone Park,Queens,0.05,0.53,-0.13,-0.04,0.39,-0.77,-0.22,0.77,0.04,0.58,0.77,2.35,1.459047619,27.18,1.459047619
Kensington-Ocean Parkway,Brooklyn,-0.35,0.66,-0.1,-0.04,0.42,0.51,0.14,0.47,-0.33,0,-0.03,0.42,0.986031746,12.28,0.986031746
Prospect Lefferts Gardens-Wingate,Brooklyn,0.14,0.29,-0.12,-0.01,0.25,0.26,0.24,0.38,-0.04,-0.09,0.29,-0.04,1.008253968,12.98,1.008253968
Murray Hill-Kips Bay,Manhattan,0.63,-0.4,0.02,-0.14,0.55,0.55,0.03,-0.02,0.05,0.28,-0.16,-0.49,0.731111111,4.25,0.731111111
Ocean Hill,Brooklyn,0.34,0.09,-0.12,-0.02,0.04,-0.57,0.9,0.74,0.4,-0.8,1.3,-0.49,1.415873016,25.82,1.415873016
Crotona Park East,Bronx,0.54,0.19,-0.08,-0.12,-0.42,-0.43,1.21,0.06,0.7,-0.39,-0.26,1.05,1.028253968,13.61,1.028253968
Prospect Heights,Brooklyn,-0.36,0.96,-0.08,-0.12,0.28,0.73,-0.29,-0.16,-0.2,0.56,-0.13,0.02,0.717142857,3.81,0.717142857
Erasmus,Brooklyn,0.11,0.29,-0.12,-0.09,0.26,0.09,0.47,0.19,0.06,-0.09,0.39,-0.09,1.021587302,13.4,1.021587302
Maspeth,Queens,-0.75,0.48,-0.13,0.01,0.76,-1.15,1.66,1.64,0.49,0.01,-1.47,-0.49,1.018095238,13.29,1.018095238
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,0.43,-0.14,-0.1,-0.02,0.26,0.44,0.21,0.14,-0.03,-0.05,0.14,0.09,0.911111111,9.92,0.911111111
Elmhurst-Maspeth,Queens,0.01,0.51,-0.13,-0.1,0.51,0.13,-0.27,-0.25,0.44,0.49,0.55,-0.49,0.955238095,11.31,0.955238095
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,1.1,-1.28,-0.08,0.02,0.82,0.33,0.17,-0.02,0.21,0.04,0.14,0.07,0.959047619,11.43,0.959047619
Flushing,Queens,0.14,0.31,-0.08,-0.08,0.47,0.42,-0.25,-0.1,-0.75,0.67,1.15,-0.49,0.901269841,9.61,0.901269841
Richmond Hill,Queens,0.03,0.45,-0.14,0.2,-0.16,-0.32,0.78,0.21,0.33,0.41,-0.47,-0.49,0.752380952,4.92,0.752380952
Morningside Heights,Manhattan,-0.29,0.18,0.08,-0.03,0.45,0.51,0.2,0.65,-0.35,-0.15,-0.09,0.56,1.00984127,13.03,1.00984127
Fresh Meadows-Utopia,Queens,-0.57,0.67,-0.1,-0.11,0.93,0.97,-0.67,0.19,-0.46,0.58,0.02,-0.49,0.779365079,5.77,0.779365079
Homecrest,Brooklyn,-0.59,0.9,-0.13,-0.03,0.08,-0.38,1,0.53,-0.69,0.2,-0.33,3.85,1.294285714,21.99,1.294285714
Clinton,Manhattan,0.53,-0.46,0.03,-0.12,0.44,0.32,0.18,0.1,0.25,-0.04,0.12,-0.11,0.920952381,10.23,0.920952381
Cambria Heights,Queens,0.03,-0.38,-0.13,0.11,0.85,2.65,-0.8,0.02,-1.45,0.46,-1.47,-0.49,0.127619048,-14.76,0.127619048
Rosedale,Queens,-0.66,0.07,-0.13,0.28,0.93,0.08,0.9,0.74,-0.22,-0.04,-0.55,-0.49,0.976825397,11.99,0.976825397
Canarsie,Brooklyn,0.07,0.16,-0.14,-0.02,0.3,0.44,0.4,0.14,-0.7,0.43,-0.12,0.37,0.761269841,5.2,0.761269841
Fort Greene,Brooklyn,0.43,-0.26,-0.08,-0.06,0.43,-0.06,0,0.17,0.24,0.23,0.45,0.69,1.096825397,15.77,1.096825397
Old Astoria,Queens,-0.62,0.67,-0.1,-0.12,0.7,0.05,0.19,-0.14,0.26,0.15,-0.01,2.29,1.258730159,20.87,1.258730159
Jackson Heights,Queens,-0.54,0.28,-0.13,-0.03,1.04,0.15,0.34,-0.17,0.52,-0.01,0.01,0.31,1.137460317,17.05,1.137460317
